lecture,sentence
0,good day to you.
0,we are here in location.
0,and we are here today to recreate a famous experiment in the history of physics experiment where galileo dropped a cannon ball off the leaning tower of pisa.
0,so we are going to be dropping a several things off of a tall building today.
0,and one of the things we will be doing is we will be dropping a basketballs of different sizes from the buildings.
0,ah this is a standard to regulation basketball over here.
0,and this is a smaller basketball about one sixth of the size and note that the major difference in diameter.
0,that is going to be important in our explanation.
0,and then we will be doing another drop of these two balls right here.
0,this is a standard issue of golf ball.
0,and this is a so called golf practice ball over here.
0,we are also going to be making physics fruit salad today.
0,and we are going to be dropping several different kinds of fruit off of the off of the off of the building to see what happens.
0,we will be dropping some large watermelons here.
0,this is a seedless watermelon it weighs about twelve pounds or so.
0,this is a mini watermelon it weighs about has about half the way to weighs about five to six pounds or so.
0,and then in combinations that will also be dropping different fruits of their smaller.
0,for example we will be dropping a lemon.
0,so that is the background behind what we will be doing.
0,and now all we need to do is we need this building to drop the fruits off.
0,the next time that they were going to drop will be a large watermelon and a small watermelon.
0,okay guys get ready.
0,ready drop on cue.
0,now that had a rather spectacular end but again you saw that they came down at different speeds.
0,again then we will have to analyze much more closely to be able to hook to park out what is going on.
0,but they did come down at different speeds.
0,so let us analyze these data.
0,one of the problems with this experiment and with galileo's is that things happened so quickly.
0,the time of flight if you can call it that from the top of the building to the bottom is about two seconds.
0,this means a small variations in things like time of release can produce large apparent changes in the outcome at the end.
0,the trick is to analyze the motion so that these other things can be minimized.
0,this is where modern technology comes to the rescue.
0,modern video cameras are essentially very fast still cameras stringing together sequential images at a rate of about thirty frames per second.
0,our eyes can only process images it at a rate of about fifteen to twenty frames per second.
0,this is why the faster sequences in a video clip appear to us as smooth motion.
0,but with the appropriate technology we can take this video clips and analyzed them in frame by frame so that we can follow a motion to a resolution of about thirty three milliseconds per frame.
0,it is not perfect but it is better than our eyes can do.
0,that is exactly what we are going to do.
0,we will follow time of flight of falling bodies and use our technology to correct for whatever complications we can.
0,here we are going to be dropping objects that have similar densities but different diameters.
0,large watermelon versus small watermelon.
0,first let us see what happens with the watermelons.
0,again there was a slight delay in releasing the small melon.
0,but correcting for that we see a result satisfyingly close to what galileo said we should find.
